"DAV","Dataset","Gene Symbol","Analysis Type","Assay Type","DAV Matrix","Output Image Object","Location","Script"
"Fred-Hutch","MSK sc-RNA-seq","ARX","Cell Type Proportion","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/cell_type_composition/ct_prop_all.csv","ARX_ct-prop.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/ARX","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","ARX","UMAP","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/metadata.csv","ARX_umap.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/ARX","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","BCOR","Cell Type Proportion","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/cell_type_composition/ct_prop_all.csv","BCOR_ct-prop.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/BCOR","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","BCOR","UMAP","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/metadata.csv","BCOR_umap.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/BCOR","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","BMPR1A","Cell Type Proportion","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/cell_type_composition/ct_prop_all.csv","BMPR1A_ct-prop.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/BMPR1A","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","BMPR1A","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/BMPR1A.tsv","BMPR1A_nDEG-updown.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/BMPR1A","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","BMPR1A","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/BMPR1A.tsv","BMPR1A_nDEG-total.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/BMPR1A","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","BMPR1A","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/BMPR1A.tsv","BMPR1A_DE-dotplot.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/BMPR1A","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","BMPR1A","UMAP","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/metadata.csv","BMPR1A_umap.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/BMPR1A","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","FOXA1","Cell Type Proportion","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/cell_type_composition/ct_prop_all.csv","FOXA1_ct-prop.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/FOXA1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","FOXA1","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/FOXA1.tsv","FOXA1_nDEG-updown.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/FOXA1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","FOXA1","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/FOXA1.tsv","FOXA1_nDEG-total.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/FOXA1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","FOXA1","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/FOXA1.tsv","FOXA1_DE-dotplot.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/FOXA1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","FOXA1","UMAP","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/metadata.csv","FOXA1_umap.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/FOXA1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","FOXA2","Cell Type Proportion","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/cell_type_composition/ct_prop_all.csv","FOXA2_ct-prop.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/FOXA2","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","FOXA2","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/FOXA2.tsv","FOXA2_nDEG-updown.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/FOXA2","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","FOXA2","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/FOXA2.tsv","FOXA2_nDEG-total.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/FOXA2","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","FOXA2","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/FOXA2.tsv","FOXA2_DE-dotplot.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/FOXA2","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","FOXA2","UMAP","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/metadata.csv","FOXA2_umap.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/FOXA2","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","GATA4","Cell Type Proportion","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/cell_type_composition/ct_prop_all.csv","GATA4_ct-prop.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/GATA4","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","GATA4","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/GATA4.tsv","GATA4_nDEG-updown.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/GATA4","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","GATA4","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/GATA4.tsv","GATA4_nDEG-total.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/GATA4","4_genotype-plots.Rmd"
