genotype	celltype	count	proportion	time_point
BCOR	ESC	123	1	D-1
WT	ESC_DE	2095	0.748749106504646	D-1
WT	ESC	671	0.239814152966405	D-1
WT	SC-alpha	7	0.00250178699070765	D-1
WT	EnP	6	0.00214438884917798	D-1
WT	SC-EC	6	0.00214438884917798	D-1
WT	PP	4	0.00142959256611866	D-1
WT	Ductal	3	0.00107219442458899	D-1
WT	DE	2	7.14796283059328e-4	D-1
WT	PFG	1	3.57398141529664e-4	D-1
WT	Mesenchymal_Stromal	1	3.57398141529664e-4	D-1
WT	Stromal	1	3.57398141529664e-4	D-1
WT	Liver	1	3.57398141529664e-4	D-1
BCOR	DE	140	0.89171974522293	D3
BCOR	ESC	9	0.0573248407643312	D3
BCOR	ESC_DE	8	0.0509554140127389	D3
WT	DE	2649	0.925576519916143	D3
WT	ESC_DE	144	0.050314465408805	D3
WT	ESC	49	0.017120894479385	D3
WT	Mesenchymal_Stromal	6	0.00209643605870021	D3
WT	EnP	4	0.00139762403913347	D3
WT	Stromal	4	0.00139762403913347	D3
WT	SC-alpha	2	6.98812019566737e-4	D3
WT	SC-beta	2	6.98812019566737e-4	D3
WT	SC-delta	1	3.49406009783368e-4	D3
WT	Ductal	1	3.49406009783368e-4	D3
BCOR	Liver	94	0.552941176470588	D7
BCOR	PFG	61	0.358823529411765	D7
BCOR	DE	8	0.0470588235294118	D7
BCOR	ESC	2	0.0117647058823529	D7
BCOR	Stromal	2	0.0117647058823529	D7
BCOR	Endothelial	2	0.0117647058823529	D7
BCOR	Ductal	1	0.00588235294117647	D7
WT	PFG	2498	0.652901202300052	D7
WT	Liver	1169	0.305541035023523	D7
WT	Endothelial	41	0.0107161526398327	D7
WT	Stromal	36	0.00940930475692629	D7
WT	DE	27	0.00705697856769472	D7
WT	PP	27	0.00705697856769472	D7
WT	ESC	8	0.00209095661265029	D7
WT	EnP	8	0.00209095661265029	D7
WT	Ductal	4	0.00104547830632514	D7
WT	SC-EC	2	5.22739153162572e-4	D7
WT	SC-beta	2	5.22739153162572e-4	D7
WT	Mesenchymal_Stromal	2	5.22739153162572e-4	D7
WT	ESC_DE	1	2.61369576581286e-4	D7
WT	PGT	1	2.61369576581286e-4	D7
BCOR	PP	91	0.771186440677966	D11
BCOR	Liver	8	0.0677966101694915	D11
BCOR	PFG	7	0.0593220338983051	D11
BCOR	Mesenchymal_Stromal	4	0.0338983050847458	D11
BCOR	Ductal	3	0.0254237288135593	D11
BCOR	ESC	2	0.0169491525423729	D11
BCOR	Endothelial	2	0.0169491525423729	D11
BCOR	EnP	1	0.00847457627118644	D11
WT	PP	2822	0.761262476396008	D11
WT	EnP	475	0.128135958996493	D11
WT	Mesenchymal_Stromal	124	0.0334502292959266	D11
WT	PFG	90	0.0242783922309145	D11
WT	Liver	73	0.0196924736984084	D11
WT	Stromal	37	0.00998111680604262	D11
WT	Ductal	27	0.00728351766927435	D11
WT	ESC	23	0.00620447801456704	D11
WT	DE	10	0.00269759913676828	D11
WT	SC-alpha	10	0.00269759913676828	D11
WT	SC-EC	6	0.00161855948206097	D11
WT	SC-delta	4	0.00107903965470731	D11
WT	Endothelial	4	0.00107903965470731	D11
WT	SC-beta	2	5.39519827353655e-4	D11
BCOR	Ductal	239	0.391162029459902	D18
BCOR	SC-beta	142	0.23240589198036	D18
BCOR	SC-alpha	85	0.13911620294599	D18
BCOR	SC-EC	72	0.117839607201309	D18
BCOR	EnP	25	0.0409165302782324	D18
BCOR	PP	18	0.0294599018003273	D18
BCOR	Stromal	13	0.0212765957446809	D18
BCOR	Liver	8	0.0130932896890344	D18
BCOR	SC-delta	5	0.00818330605564648	D18
BCOR	DE	4	0.00654664484451719	D18
WT	Ductal	4129	0.250409363818303	D18
WT	SC-EC	3545	0.214991812723634	D18
WT	SC-beta	3391	0.205652253017163	D18
WT	EnP	2184	0.132451937655407	D18
WT	SC-alpha	2018	0.12238462004973	D18
WT	Liver	361	0.0218933834677664	D18
WT	SC-delta	319	0.019346230820547	D18
WT	PP	219	0.0132815816605009	D18
WT	Stromal	146	0.00885438777366729	D18
WT	Mesenchymal_Stromal	75	0.00454848687003457	D18
WT	DE	42	0.00254715264721936	D18
WT	ESC	37	0.00224392018921705	D18
WT	PFG	15	9.09697374006914e-4	D18
WT	Endothelial	7	4.24525441203226e-4	D18
WT	PGT	1	6.06464916004609e-5	D18
