genotype	celltype	count	proportion	time_point
HNF4A	ESC	141	1	D-1
WT	ESC_DE	2095	0.748749106504646	D-1
WT	ESC	671	0.239814152966405	D-1
WT	SC-alpha	7	0.00250178699070765	D-1
WT	EnP	6	0.00214438884917798	D-1
WT	SC-EC	6	0.00214438884917798	D-1
WT	PP	4	0.00142959256611866	D-1
WT	Ductal	3	0.00107219442458899	D-1
WT	DE	2	7.14796283059328e-4	D-1
WT	PFG	1	3.57398141529664e-4	D-1
WT	Mesenchymal_Stromal	1	3.57398141529664e-4	D-1
WT	Stromal	1	3.57398141529664e-4	D-1
WT	Liver	1	3.57398141529664e-4	D-1
HNF4A	DE	161	0.829896907216495	D3
HNF4A	ESC_DE	25	0.128865979381443	D3
HNF4A	ESC	8	0.041237113402061903	D3
WT	DE	2649	0.925576519916143	D3
WT	ESC_DE	144	0.050314465408805	D3
WT	ESC	49	0.017120894479385	D3
WT	Mesenchymal_Stromal	6	0.00209643605870021	D3
WT	EnP	4	0.00139762403913347	D3
WT	Stromal	4	0.00139762403913347	D3
WT	SC-alpha	2	6.98812019566737e-4	D3
WT	SC-beta	2	6.98812019566737e-4	D3
WT	SC-delta	1	3.49406009783368e-4	D3
WT	Ductal	1	3.49406009783368e-4	D3
HNF4A	PFG	72	0.6	D7
HNF4A	Liver	25	0.208333333333333	D7
HNF4A	Stromal	17	0.141666666666667	D7
HNF4A	ESC	2	0.0166666666666667	D7
HNF4A	PP	2	0.0166666666666667	D7
HNF4A	DE	1	0.00833333333333333	D7
HNF4A	Endothelial	1	0.00833333333333333	D7
WT	PFG	2498	0.652901202300052	D7
WT	Liver	1169	0.305541035023523	D7
WT	Endothelial	41	0.0107161526398327	D7
WT	Stromal	36	0.00940930475692629	D7
WT	DE	27	0.00705697856769472	D7
WT	PP	27	0.00705697856769472	D7
WT	ESC	8	0.00209095661265029	D7
WT	EnP	8	0.00209095661265029	D7
WT	Ductal	4	0.00104547830632514	D7
WT	SC-EC	2	5.22739153162572e-4	D7
WT	SC-beta	2	5.22739153162572e-4	D7
WT	Mesenchymal_Stromal	2	5.22739153162572e-4	D7
WT	ESC_DE	1	2.61369576581286e-4	D7
WT	PGT	1	2.61369576581286e-4	D7
HNF4A	PP	106	0.716216216216216	D11
HNF4A	Stromal	27	0.182432432432432	D11
HNF4A	PFG	6	0.0405405405405405	D11
HNF4A	Ductal	3	0.0202702702702703	D11
HNF4A	EnP	2	0.0135135135135135	D11
HNF4A	Mesenchymal_Stromal	2	0.0135135135135135	D11
HNF4A	Endothelial	1	0.00675675675675676	D11
HNF4A	Liver	1	0.00675675675675676	D11
WT	PP	2822	0.761262476396008	D11
WT	EnP	475	0.128135958996493	D11
WT	Mesenchymal_Stromal	124	0.0334502292959266	D11
WT	PFG	90	0.0242783922309145	D11
WT	Liver	73	0.0196924736984084	D11
WT	Stromal	37	0.00998111680604262	D11
WT	Ductal	27	0.00728351766927435	D11
WT	ESC	23	0.00620447801456704	D11
WT	DE	10	0.00269759913676828	D11
WT	SC-alpha	10	0.00269759913676828	D11
WT	SC-EC	6	0.00161855948206097	D11
WT	SC-delta	4	0.00107903965470731	D11
WT	Endothelial	4	0.00107903965470731	D11
WT	SC-beta	2	5.39519827353655e-4	D11
HNF4A	Ductal	125	0.40453074433657	D18
HNF4A	SC-beta	64	0.207119741100324	D18
HNF4A	SC-alpha	45	0.145631067961165	D18
HNF4A	SC-EC	26	0.0841423948220065	D18
HNF4A	Stromal	26	0.0841423948220065	D18
HNF4A	EnP	15	0.0485436893203883	D18
HNF4A	PFG	2	0.00647249190938511	D18
HNF4A	PP	2	0.00647249190938511	D18
HNF4A	Liver	2	0.00647249190938511	D18
HNF4A	ESC	1	0.00323624595469256	D18
HNF4A	DE	1	0.00323624595469256	D18
WT	Ductal	4129	0.250409363818303	D18
WT	SC-EC	3545	0.214991812723634	D18
WT	SC-beta	3391	0.205652253017163	D18
WT	EnP	2184	0.132451937655407	D18
WT	SC-alpha	2018	0.12238462004973	D18
WT	Liver	361	0.0218933834677664	D18
WT	SC-delta	319	0.019346230820547	D18
WT	PP	219	0.0132815816605009	D18
WT	Stromal	146	0.00885438777366729	D18
WT	Mesenchymal_Stromal	75	0.00454848687003457	D18
WT	DE	42	0.00254715264721936	D18
WT	ESC	37	0.00224392018921705	D18
WT	PFG	15	9.09697374006914e-4	D18
WT	Endothelial	7	4.24525441203226e-4	D18
WT	PGT	1	6.06464916004609e-5	D18
