genotype	celltype	count	proportion	time_point
MNX1	ESC	534	0.998130841121495	D-1
MNX1	Mesenchymal_Stromal	1	0.00186915887850467	D-1
WT	ESC_DE	2095	0.748749106504646	D-1
WT	ESC	671	0.239814152966405	D-1
WT	SC-alpha	7	0.00250178699070765	D-1
WT	EnP	6	0.00214438884917798	D-1
WT	SC-EC	6	0.00214438884917798	D-1
WT	PP	4	0.00142959256611866	D-1
WT	Ductal	3	0.00107219442458899	D-1
WT	DE	2	7.14796283059328e-4	D-1
WT	PFG	1	3.57398141529664e-4	D-1
WT	Mesenchymal_Stromal	1	3.57398141529664e-4	D-1
WT	Stromal	1	3.57398141529664e-4	D-1
WT	Liver	1	3.57398141529664e-4	D-1
MNX1	DE	898	0.770154373927959	D3
MNX1	ESC_DE	180	0.154373927958834	D3
MNX1	ESC	87	0.0746140651801029	D3
MNX1	PFG	1	8.57632933104631e-4	D3
WT	DE	2649	0.925576519916143	D3
WT	ESC_DE	144	0.050314465408805	D3
WT	ESC	49	0.017120894479385	D3
WT	Mesenchymal_Stromal	6	0.00209643605870021	D3
WT	EnP	4	0.00139762403913347	D3
WT	Stromal	4	0.00139762403913347	D3
WT	SC-alpha	2	6.98812019566737e-4	D3
WT	SC-beta	2	6.98812019566737e-4	D3
WT	SC-delta	1	3.49406009783368e-4	D3
WT	Ductal	1	3.49406009783368e-4	D3
MNX1	PFG	524	0.443691786621507	D7
MNX1	Liver	350	0.296359017781541	D7
MNX1	Stromal	196	0.165961049957663	D7
MNX1	DE	60	0.0508044030482642	D7
MNX1	ESC	22	0.0186282811176969	D7
MNX1	Endothelial	22	0.0186282811176969	D7
MNX1	Mesenchymal_Stromal	5	0.00423370025402202	D7
MNX1	ESC_DE	1	8.46740050804403e-4	D7
MNX1	PP	1	8.46740050804403e-4	D7
WT	PFG	2498	0.652901202300052	D7
WT	Liver	1169	0.305541035023523	D7
WT	Endothelial	41	0.0107161526398327	D7
WT	Stromal	36	0.00940930475692629	D7
WT	DE	27	0.00705697856769472	D7
WT	PP	27	0.00705697856769472	D7
WT	ESC	8	0.00209095661265029	D7
WT	EnP	8	0.00209095661265029	D7
WT	Ductal	4	0.00104547830632514	D7
WT	SC-EC	2	5.22739153162572e-4	D7
WT	SC-beta	2	5.22739153162572e-4	D7
WT	Mesenchymal_Stromal	2	5.22739153162572e-4	D7
WT	ESC_DE	1	2.61369576581286e-4	D7
WT	PGT	1	2.61369576581286e-4	D7
MNX1	PP	617	0.67579408543264	D11
MNX1	Stromal	94	0.102957283680175	D11
MNX1	PFG	73	0.0799561883899233	D11
MNX1	EnP	56	0.0613362541073384	D11
MNX1	Ductal	22	0.0240963855421687	D11
MNX1	Mesenchymal_Stromal	22	0.0240963855421687	D11
MNX1	ESC	9	0.00985761226725082	D11
MNX1	Liver	8	0.00876232201533406	D11
MNX1	Endothelial	7	0.00766703176341731	D11
MNX1	DE	4	0.00438116100766703	D11
MNX1	SC-EC	1	0.00109529025191676	D11
WT	PP	2822	0.761262476396008	D11
WT	EnP	475	0.128135958996493	D11
WT	Mesenchymal_Stromal	124	0.0334502292959266	D11
WT	PFG	90	0.0242783922309145	D11
WT	Liver	73	0.0196924736984084	D11
WT	Stromal	37	0.00998111680604262	D11
WT	Ductal	27	0.00728351766927435	D11
WT	ESC	23	0.00620447801456704	D11
WT	DE	10	0.00269759913676828	D11
WT	SC-alpha	10	0.00269759913676828	D11
WT	SC-EC	6	0.00161855948206097	D11
WT	SC-delta	4	0.00107903965470731	D11
WT	Endothelial	4	0.00107903965470731	D11
WT	SC-beta	2	5.39519827353655e-4	D11
MNX1	Ductal	588	0.288943488943489	D18
MNX1	EnP	472	0.231941031941032	D18
MNX1	SC-alpha	282	0.138574938574939	D18
MNX1	SC-EC	238	0.116953316953317	D18
MNX1	Stromal	235	0.115479115479115	D18
MNX1	SC-delta	170	0.0835380835380835	D18
MNX1	PP	16	0.00786240786240786	D18
MNX1	Liver	13	0.00638820638820639	D18
MNX1	DE	9	0.00442260442260442	D18
MNX1	SC-beta	5	0.00245700245700246	D18
MNX1	ESC	3	0.00147420147420147	D18
MNX1	PFG	3	0.00147420147420147	D18
MNX1	Mesenchymal_Stromal	1	4.91400491400491e-4	D18
WT	Ductal	4129	0.250409363818303	D18
WT	SC-EC	3545	0.214991812723634	D18
WT	SC-beta	3391	0.205652253017163	D18
WT	EnP	2184	0.132451937655407	D18
WT	SC-alpha	2018	0.12238462004973	D18
WT	Liver	361	0.0218933834677664	D18
WT	SC-delta	319	0.019346230820547	D18
WT	PP	219	0.0132815816605009	D18
WT	Stromal	146	0.00885438777366729	D18
WT	Mesenchymal_Stromal	75	0.00454848687003457	D18
WT	DE	42	0.00254715264721936	D18
WT	ESC	37	0.00224392018921705	D18
WT	PFG	15	9.09697374006914e-4	D18
WT	Endothelial	7	4.24525441203226e-4	D18
WT	PGT	1	6.06464916004609e-5	D18
