genotype	celltype	count	proportion	time_point
NGN3	ESC	224	1	D-1
WT	ESC_DE	2095	0.748749106504646	D-1
WT	ESC	671	0.239814152966405	D-1
WT	SC-alpha	7	0.00250178699070765	D-1
WT	EnP	6	0.00214438884917798	D-1
WT	SC-EC	6	0.00214438884917798	D-1
WT	PP	4	0.00142959256611866	D-1
WT	Ductal	3	0.00107219442458899	D-1
WT	DE	2	7.14796283059328e-4	D-1
WT	PFG	1	3.57398141529664e-4	D-1
WT	Mesenchymal_Stromal	1	3.57398141529664e-4	D-1
WT	Stromal	1	3.57398141529664e-4	D-1
WT	Liver	1	3.57398141529664e-4	D-1
NGN3	DE	228	0.791666666666667	D3
NGN3	ESC_DE	44	0.152777777777778	D3
NGN3	ESC	15	0.0520833333333333	D3
NGN3	Mesenchymal_Stromal	1	0.00347222222222222	D3
WT	DE	2649	0.925576519916143	D3
WT	ESC_DE	144	0.050314465408805	D3
WT	ESC	49	0.017120894479385	D3
WT	Mesenchymal_Stromal	6	0.00209643605870021	D3
WT	EnP	4	0.00139762403913347	D3
WT	Stromal	4	0.00139762403913347	D3
WT	SC-alpha	2	6.98812019566737e-4	D3
WT	SC-beta	2	6.98812019566737e-4	D3
WT	SC-delta	1	3.49406009783368e-4	D3
WT	Ductal	1	3.49406009783368e-4	D3
NGN3	PFG	121	0.521551724137931	D7
NGN3	Liver	76	0.327586206896552	D7
NGN3	Stromal	18	0.0775862068965517	D7
NGN3	ESC	5	0.021551724137931	D7
NGN3	DE	5	0.021551724137931	D7
NGN3	Endothelial	4	0.0172413793103448	D7
NGN3	ESC_DE	1	0.00431034482758621	D7
NGN3	PGT	1	0.00431034482758621	D7
NGN3	PP	1	0.00431034482758621	D7
WT	PFG	2498	0.652901202300052	D7
WT	Liver	1169	0.305541035023523	D7
WT	Endothelial	41	0.0107161526398327	D7
WT	Stromal	36	0.00940930475692629	D7
WT	DE	27	0.00705697856769472	D7
WT	PP	27	0.00705697856769472	D7
WT	ESC	8	0.00209095661265029	D7
WT	EnP	8	0.00209095661265029	D7
WT	Ductal	4	0.00104547830632514	D7
WT	SC-EC	2	5.22739153162572e-4	D7
WT	SC-beta	2	5.22739153162572e-4	D7
WT	Mesenchymal_Stromal	2	5.22739153162572e-4	D7
WT	ESC_DE	1	2.61369576581286e-4	D7
WT	PGT	1	2.61369576581286e-4	D7
NGN3	PP	133	0.777777777777778	D11
NGN3	PFG	13	0.0760233918128655	D11
NGN3	Stromal	9	0.0526315789473684	D11
NGN3	Mesenchymal_Stromal	5	0.0292397660818713	D11
NGN3	Ductal	3	0.0175438596491228	D11
NGN3	Endothelial	3	0.0175438596491228	D11
NGN3	DE	2	0.0116959064327485	D11
NGN3	ESC	1	0.00584795321637427	D11
NGN3	EnP	1	0.00584795321637427	D11
NGN3	Liver	1	0.00584795321637427	D11
WT	PP	2822	0.761262476396008	D11
WT	EnP	475	0.128135958996493	D11
WT	Mesenchymal_Stromal	124	0.0334502292959266	D11
WT	PFG	90	0.0242783922309145	D11
WT	Liver	73	0.0196924736984084	D11
WT	Stromal	37	0.00998111680604262	D11
WT	Ductal	27	0.00728351766927435	D11
WT	ESC	23	0.00620447801456704	D11
WT	DE	10	0.00269759913676828	D11
WT	SC-alpha	10	0.00269759913676828	D11
WT	SC-EC	6	0.00161855948206097	D11
WT	SC-delta	4	0.00107903965470731	D11
WT	Endothelial	4	0.00107903965470731	D11
WT	SC-beta	2	5.39519827353655e-4	D11
NGN3	Ductal	357	0.82830626450116	D18
NGN3	Stromal	33	0.0765661252900232	D18
NGN3	PP	13	0.0301624129930394	D18
NGN3	Liver	10	0.0232018561484919	D18
NGN3	PFG	5	0.0116009280742459	D18
NGN3	ESC	4	0.00928074245939675	D18
NGN3	EnP	3	0.00696055684454756	D18
NGN3	DE	2	0.00464037122969838	D18
NGN3	SC-delta	2	0.00464037122969838	D18
NGN3	SC-EC	1	0.00232018561484919	D18
NGN3	SC-alpha	1	0.00232018561484919	D18
WT	Ductal	4129	0.250409363818303	D18
WT	SC-EC	3545	0.214991812723634	D18
WT	SC-beta	3391	0.205652253017163	D18
WT	EnP	2184	0.132451937655407	D18
WT	SC-alpha	2018	0.12238462004973	D18
WT	Liver	361	0.0218933834677664	D18
WT	SC-delta	319	0.019346230820547	D18
WT	PP	219	0.0132815816605009	D18
WT	Stromal	146	0.00885438777366729	D18
WT	Mesenchymal_Stromal	75	0.00454848687003457	D18
WT	DE	42	0.00254715264721936	D18
WT	ESC	37	0.00224392018921705	D18
WT	PFG	15	9.09697374006914e-4	D18
WT	Endothelial	7	4.24525441203226e-4	D18
WT	PGT	1	6.06464916004609e-5	D18
