genotype	celltype	count	proportion	time_point
NKX2-2	ESC	609	0.998360655737705	D-1
NKX2-2	Mesenchymal_Stromal	1	0.00163934426229508	D-1
WT	ESC_DE	2095	0.748749106504646	D-1
WT	ESC	671	0.239814152966405	D-1
WT	SC-alpha	7	0.00250178699070765	D-1
WT	EnP	6	0.00214438884917798	D-1
WT	SC-EC	6	0.00214438884917798	D-1
WT	PP	4	0.00142959256611866	D-1
WT	Ductal	3	0.00107219442458899	D-1
WT	DE	2	7.14796283059328e-4	D-1
WT	PFG	1	3.57398141529664e-4	D-1
WT	Mesenchymal_Stromal	1	3.57398141529664e-4	D-1
WT	Stromal	1	3.57398141529664e-4	D-1
WT	Liver	1	3.57398141529664e-4	D-1
NKX2-2	DE	783	0.845572354211663	D3
NKX2-2	ESC_DE	91	0.0982721382289417	D3
NKX2-2	ESC	47	0.050755939524838	D3
NKX2-2	Mesenchymal_Stromal	5	0.00539956803455724	D3
WT	DE	2649	0.925576519916143	D3
WT	ESC_DE	144	0.050314465408805	D3
WT	ESC	49	0.017120894479385	D3
WT	Mesenchymal_Stromal	6	0.00209643605870021	D3
WT	EnP	4	0.00139762403913347	D3
WT	Stromal	4	0.00139762403913347	D3
WT	SC-alpha	2	6.98812019566737e-4	D3
WT	SC-beta	2	6.98812019566737e-4	D3
WT	SC-delta	1	3.49406009783368e-4	D3
WT	Ductal	1	3.49406009783368e-4	D3
NKX2-2	PFG	541	0.516221374045801	D7
NKX2-2	Liver	328	0.312977099236641	D7
NKX2-2	Stromal	111	0.105916030534351	D7
NKX2-2	DE	41	0.0391221374045802	D7
NKX2-2	ESC	17	0.0162213740458015	D7
NKX2-2	Endothelial	6	0.00572519083969466	D7
NKX2-2	Ductal	2	0.00190839694656489	D7
NKX2-2	PP	1	9.54198473282443e-4	D7
NKX2-2	Mesenchymal_Stromal	1	9.54198473282443e-4	D7
WT	PFG	2498	0.652901202300052	D7
WT	Liver	1169	0.305541035023523	D7
WT	Endothelial	41	0.0107161526398327	D7
WT	Stromal	36	0.00940930475692629	D7
WT	DE	27	0.00705697856769472	D7
WT	PP	27	0.00705697856769472	D7
WT	ESC	8	0.00209095661265029	D7
WT	EnP	8	0.00209095661265029	D7
WT	Ductal	4	0.00104547830632514	D7
WT	SC-EC	2	5.22739153162572e-4	D7
WT	SC-beta	2	5.22739153162572e-4	D7
WT	Mesenchymal_Stromal	2	5.22739153162572e-4	D7
WT	ESC_DE	1	2.61369576581286e-4	D7
WT	PGT	1	2.61369576581286e-4	D7
NKX2-2	PP	714	0.642664266426643	D11
NKX2-2	EnP	212	0.190819081908191	D11
NKX2-2	PFG	77	0.0693069306930693	D11
NKX2-2	Stromal	36	0.0324032403240324	D11
NKX2-2	Mesenchymal_Stromal	18	0.0162016201620162	D11
NKX2-2	Liver	17	0.0153015301530153	D11
NKX2-2	ESC	12	0.0108010801080108	D11
NKX2-2	Ductal	8	0.0072007200720072	D11
NKX2-2	DE	7	0.0063006300630063	D11
NKX2-2	SC-delta	7	0.0063006300630063	D11
NKX2-2	Endothelial	2	0.0018001800180018	D11
NKX2-2	SC-alpha	1	9.000900090009e-4	D11
WT	PP	2822	0.761262476396008	D11
WT	EnP	475	0.128135958996493	D11
WT	Mesenchymal_Stromal	124	0.0334502292959266	D11
WT	PFG	90	0.0242783922309145	D11
WT	Liver	73	0.0196924736984084	D11
WT	Stromal	37	0.00998111680604262	D11
WT	Ductal	27	0.00728351766927435	D11
WT	ESC	23	0.00620447801456704	D11
WT	DE	10	0.00269759913676828	D11
WT	SC-alpha	10	0.00269759913676828	D11
WT	SC-EC	6	0.00161855948206097	D11
WT	SC-delta	4	0.00107903965470731	D11
WT	Endothelial	4	0.00107903965470731	D11
WT	SC-beta	2	5.39519827353655e-4	D11
NKX2-2	Ductal	457	0.502750275027503	D18
NKX2-2	SC-alpha	201	0.221122112211221	D18
NKX2-2	EnP	100	0.11001100110011	D18
NKX2-2	Stromal	66	0.0726072607260726	D18
NKX2-2	SC-delta	41	0.0451045104510451	D18
NKX2-2	SC-EC	18	0.0198019801980198	D18
NKX2-2	PP	11	0.0121012101210121	D18
NKX2-2	SC-beta	9	0.0099009900990099	D18
NKX2-2	DE	2	0.0022002200220022	D18
NKX2-2	PFG	2	0.0022002200220022	D18
NKX2-2	Liver	2	0.0022002200220022	D18
WT	Ductal	4129	0.250409363818303	D18
WT	SC-EC	3545	0.214991812723634	D18
WT	SC-beta	3391	0.205652253017163	D18
WT	EnP	2184	0.132451937655407	D18
WT	SC-alpha	2018	0.12238462004973	D18
WT	Liver	361	0.0218933834677664	D18
WT	SC-delta	319	0.019346230820547	D18
WT	PP	219	0.0132815816605009	D18
WT	Stromal	146	0.00885438777366729	D18
WT	Mesenchymal_Stromal	75	0.00454848687003457	D18
WT	DE	42	0.00254715264721936	D18
WT	ESC	37	0.00224392018921705	D18
WT	PFG	15	9.09697374006914e-4	D18
WT	Endothelial	7	4.24525441203226e-4	D18
WT	PGT	1	6.06464916004609e-5	D18
