time_point	celltype	feature.4	n_cells
D-1	ESC	102_MNX1	164
D-1	ESC	103_MNX1	218
D-1	ESC	107_TET1/2/3	195
D-1	ESC	108_MNX1	152
D-1	ESC	109_TET1/2/3	54
D-1	ESC	110_WT	183
D-1	ESC	111_WT	312
D-1	ESC	112_PDX1	161
D-1	ESC	114_PDX1het	320
D-1	ESC	115_PDX1	334
D-1	ESC	117_QSER1TET1	107
D-1	ESC	118_QSER1TET1	156
D-1	ESC	119_QSER1	121
D-1	ESC	120_QSER1	127
D-1	ESC	121_PROSER1	173
D-1	ESC	122_TET1	165
D-1	ESC	123_NANOGehet	97
D-1	ESC	124_NANOGehet	137
D-1	ESC	125_HHEXe	207
D-1	ESC	127_HHEXe	182
D-1	ESC	12_PAX6	160
D-1	ESC	12_PAX6-alt1	41
D-1	ESC	137_WT111	10
D-1	ESC	152_HNF4Ahet	120
D-1	ESC	153_HNF4A	141
D-1	ESC	15_NKX2-2	205
D-1	ESC	17_ARX	201
D-1	ESC	24_GATA6het	262
D-1	ESC	27_GATA4	141
D-1	ESC	30_FOXA2	198
D-1	ESC	31_FOXA2	174
D-1	ESC	33_FOXA1	220
D-1	ESC	37_RFX6	278
D-1	ESC	38_GLIS3	203
D-1	ESC	39_GLIS3	305
D-1	ESC	42_HHEX	149
D-1	ESC	43_HHEX	154
D-1	ESC	44_HHEX	118
D-1	ESC	45_HHEX	127
D-1	ESC	46_HHEXhet	130
D-1	ESC	47_WT	166
D-1	ESC	51_FOXA1	165
D-1	ESC	56_FOXA1	104
D-1	ESC	57_OTUD5	266
D-1	ESC	58_OTUD5	185
D-1	ESC	59_TADA2B	209
D-1	ESC	5_PDX1	241
D-1	ESC	63_BCOR	123
D-1	ESC	64_KDM2B	86
D-1	ESC	65_OTUD5	194
D-1	ESC	66_OTUD5	223
D-1	ESC	67_FOXA2	175
D-1	ESC	68_FOXA2	161
D-1	ESC	69_NGN3	107
D-1	ESC	70_NGN3	34
D-1	ESC	70_NGN3-alt1	83
D-1	ESC	71_GSC	245
D-1	ESC	72_GSC	131
D-1	ESC	73_BMPR1A	107
D-1	ESC	74_BMPR1A	128
D-1	ESC	75_TLE3	117
D-1	ESC	76_TLE3	110
D-1	ESC	77_ONECUT1e	257
D-1	ESC	78_ONECUT1e	213
D-1	ESC	79_ONECUT1e	184
D-1	ESC	80_GATA6het	134
D-1	ESC	81_GATA6het	144
D-1	ESC	82_GATA6	172
D-1	ESC	83_GATA6	139
D-1	ESC	84_GATA4het	169
D-1	ESC	85_GATA4het	170
D-1	ESC	86_GATA4	163
D-1	ESC	87_GATA4	165
D-1	ESC	88_NKX2-2	205
D-1	ESC	92_NEUROD1	135
D-1	ESC	93_NEUROD1	172
D-1	ESC	94_PAX6	147
D-1	ESC	95_NKX2-2	199
D-1	ESC	96_PBX1	115
D-1	ESC	97_PBX1	138
D-1	ESC	98_RFX6	169
D-1	ESC	99_RFX6	161
D-1	ESC_DE	137_WT111	1511
D-1	ESC_DE	147_WT4	584
D-1	DE	115_PDX1	1
D-1	DE	123_NANOGehet	1
D-1	DE	137_WT111	2
D-1	DE	152_HNF4Ahet	1
D-1	DE	24_GATA6het	1
D-1	DE	57_OTUD5	2
D-1	DE	58_OTUD5	2
D-1	DE	66_OTUD5	1
D-1	DE	79_ONECUT1e	1
D-1	DE	84_GATA4het	2
D-1	DE	86_GATA4	1
D-1	DE	87_GATA4	1
D-1	DE	99_RFX6	1
D-1	PFG	137_WT111	1
D-1	PP	137_WT111	4
D-1	EnP	137_WT111	5
D-1	EnP	147_WT4	1
D-1	SC-EC	137_WT111	6
D-1	SC-alpha	137_WT111	7
D-1	Ductal	137_WT111	3
D-1	Mesenchymal_Stromal	107_TET1/2/3	6
D-1	Mesenchymal_Stromal	108_MNX1	1
D-1	Mesenchymal_Stromal	109_TET1/2/3	1
D-1	Mesenchymal_Stromal	110_WT	1
D-1	Mesenchymal_Stromal	15_NKX2-2	1
D-1	Mesenchymal_Stromal	24_GATA6het	1
D-1	Mesenchymal_Stromal	27_GATA4	1
D-1	Mesenchymal_Stromal	45_HHEX	1
D-1	Mesenchymal_Stromal	59_TADA2B	3
D-1	Mesenchymal_Stromal	5_PDX1	1
D-1	Mesenchymal_Stromal	67_FOXA2	1
D-1	Mesenchymal_Stromal	84_GATA4het	1
D-1	Mesenchymal_Stromal	87_GATA4	1
D-1	Mesenchymal_Stromal	99_RFX6	1
D-1	Stromal	147_WT4	1
D-1	Liver	137_WT111	1
D3	ESC	102_MNX1	10
D3	ESC	103_MNX1	25
D3	ESC	107_TET1/2/3	2
D3	ESC	108_MNX1	52
D3	ESC	110_WT	27
