"","genotype","celltype","count","proportion","time_point"
"1","ARX","ESC",201,1,"D-1"
"2","BCOR","ESC",123,1,"D-1"
"3","BMPR1A","ESC",235,1,"D-1"
"4","FOXA1","ESC",489,1,"D-1"
"5","FOXA2","ESC",708,0.998589562764457,"D-1"
"6","FOXA2","Mesenchymal_Stromal",1,0.00141043723554302,"D-1"
"7","GATA4","ESC",469,0.99154334038055,"D-1"
"8","GATA4","DE",2,0.00422832980972516,"D-1"
"9","GATA4","Mesenchymal_Stromal",2,0.00422832980972516,"D-1"
"10","GATA4het","ESC",339,0.991228070175439,"D-1"
"11","GATA4het","DE",2,0.00584795321637427,"D-1"
"12","GATA4het","Mesenchymal_Stromal",1,0.00292397660818713,"D-1"
"13","GATA6","ESC",311,1,"D-1"
"14","GATA6het","ESC",540,0.996309963099631,"D-1"
"15","GATA6het","DE",1,0.0018450184501845,"D-1"
"16","GATA6het","Mesenchymal_Stromal",1,0.0018450184501845,"D-1"
"17","GLIS3","ESC",508,1,"D-1"
"18","GSC","ESC",376,1,"D-1"
"19","HHEX","ESC",548,0.998178506375228,"D-1"
"20","HHEX","Mesenchymal_Stromal",1,0.00182149362477231,"D-1"
"21","HHEXe","ESC",389,1,"D-1"
"22","HHEXhet","ESC",130,1,"D-1"
"23","HNF4A","ESC",141,1,"D-1"
"24","HNF4Ahet","ESC",120,0.991735537190083,"D-1"
"25","HNF4Ahet","DE",1,0.00826446280991736,"D-1"
"26","KDM2B","ESC",86,1,"D-1"
"27","MNX1","ESC",534,0.998130841121495,"D-1"
"28","MNX1","Mesenchymal_Stromal",1,0.00186915887850467,"D-1"
"29","NANOGehet","ESC",234,0.995744680851064,"D-1"
"30","NANOGehet","DE",1,0.00425531914893617,"D-1"
"31","NEUROD1","ESC",307,1,"D-1"
"32","NGN3","ESC",224,1,"D-1"
"33","NKX2-2","ESC",609,0.998360655737705,"D-1"
"34","NKX2-2","Mesenchymal_Stromal",1,0.00163934426229508,"D-1"
"35","ONECUT1e","ESC",654,0.998473282442748,"D-1"
"36","ONECUT1e","DE",1,0.00152671755725191,"D-1"
"37","OTUD5","ESC",868,0.994272623138603,"D-1"
"38","OTUD5","DE",5,0.00572737686139748,"D-1"
"39","PAX6","ESC",348,1,"D-1"
"40","PBX1","ESC",253,1,"D-1"
"41","PDX1","ESC",736,0.997289972899729,"D-1"
"42","PDX1","DE",1,0.0013550135501355,"D-1"
"43","PDX1","Mesenchymal_Stromal",1,0.0013550135501355,"D-1"
"44","PDX1het","ESC",320,1,"D-1"
"45","PROSER1","ESC",173,1,"D-1"
"46","QSER1","ESC",248,1,"D-1"
"47","QSER1TET1","ESC",263,1,"D-1"
"48","RFX6","ESC",608,0.99672131147541,"D-1"
"49","RFX6","DE",1,0.00163934426229508,"D-1"
"50","RFX6","Mesenchymal_Stromal",1,0.00163934426229508,"D-1"
"51","TADA2B","ESC",209,0.985849056603774,"D-1"
"52","TADA2B","Mesenchymal_Stromal",3,0.0141509433962264,"D-1"
"53","TET1","ESC",165,1,"D-1"
"54","TET1/2/3","ESC",249,0.97265625,"D-1"
"55","TET1/2/3","Mesenchymal_Stromal",7,0.02734375,"D-1"
"56","TLE3","ESC",227,1,"D-1"
"57","WT","ESC_DE",2095,0.748749106504646,"D-1"
"58","WT","ESC",671,0.239814152966405,"D-1"
"59","WT","SC-alpha",7,0.00250178699070765,"D-1"
"60","WT","EnP",6,0.00214438884917798,"D-1"
"61","WT","SC-EC",6,0.00214438884917798,"D-1"
"62","WT","PP",4,0.00142959256611866,"D-1"
"63","WT","Ductal",3,0.00107219442458899,"D-1"
"64","WT","DE",2,0.000714796283059328,"D-1"
"65","WT","PFG",1,0.000357398141529664,"D-1"
"66","WT","Mesenchymal_Stromal",1,0.000357398141529664,"D-1"
"67","WT","Stromal",1,0.000357398141529664,"D-1"
"68","WT","Liver",1,0.000357398141529664,"D-1"
"69","ARX","DE",421,0.83201581027668,"D3"
"70","ARX","ESC_DE",54,0.106719367588933,"D3"
"71","ARX","ESC",31,0.0612648221343874,"D3"
"72","BCOR","DE",140,0.89171974522293,"D3"
"73","BCOR","ESC",9,0.0573248407643312,"D3"
"74","BCOR","ESC_DE",8,0.0509554140127389,"D3"
"75","BMPR1A","DE",207,0.781132075471698,"D3"
"76","BMPR1A","ESC_DE",30,0.113207547169811,"D3"
"77","BMPR1A","ESC",27,0.10188679245283,"D3"
"78","BMPR1A","Mesenchymal_Stromal",1,0.00377358490566038,"D3"
"79","FOXA1","DE",1012,0.783888458559256,"D3"
"80","FOXA1","ESC_DE",208,0.161115414407436,"D3"
"81","FOXA1","ESC",68,0.0526723470178156,"D3"
"82","FOXA1","Mesenchymal_Stromal",3,0.00232378001549187,"D3"
"83","FOXA2","DE",700,0.726141078838174,"D3"
"84","FOXA2","ESC_DE",146,0.151452282157676,"D3"
"85","FOXA2","ESC",118,0.122406639004149,"D3"
"86","GATA4","DE",386,0.77979797979798,"D3"
"87","GATA4","ESC_DE",68,0.137373737373737,"D3"
"88","GATA4","ESC",41,0.0828282828282828,"D3"
"89","GATA4het","DE",375,0.78781512605042,"D3"
"90","GATA4het","ESC_DE",71,0.149159663865546,"D3"
"91","GATA4het","ESC",30,0.0630252100840336,"D3"
"92","GATA6","DE",265,0.54639175257732,"D3"
"93","GATA6","ESC_DE",152,0.31340206185567,"D3"
"94","GATA6","ESC",67,0.138144329896907,"D3"
"95","GATA6","Mesenchymal_Stromal",1,0.00206185567010309,"D3"
"96","GATA6het","DE",490,0.681502086230876,"D3"
"97","GATA6het","ESC_DE",124,0.172461752433936,"D3"
