celltype	genotype	n_unique_feat4	tp
ESC	ARX	1	D-1
ESC	BCOR	1	D-1
ESC	HHEXhet	1	D-1
ESC	HNF4A	1	D-1
ESC	HNF4Ahet	1	D-1
ESC	KDM2B	1	D-1
ESC	PDX1het	1	D-1
ESC	PROSER1	1	D-1
ESC	TADA2B	1	D-1
ESC	TET1	1	D-1
DE	ARX	1	D3
DE	BCOR	1	D3
DE	HHEXhet	1	D3
DE	HNF4A	1	D3
DE	HNF4Ahet	1	D3
DE	KDM2B	1	D3
DE	PROSER1	1	D3
DE	TADA2B	1	D3
DE	TET1	1	D3
DE	TET1/2/3	1	D3
ESC	ARX	1	D3
ESC	GATA6	1	D3
ESC	GATA6het	1	D3
ESC	MNX1	1	D3
ESC_DE	ARX	1	D3
ESC_DE	GATA4	1	D3
ESC_DE	GATA4het	1	D3
ESC_DE	HHEXhet	1	D3
ESC_DE	NEUROD1	1	D3
ESC_DE	ONECUT1e	1	D3
ESC_DE	OTUD5	1	D3
ESC_DE	PAX6	1	D3
ESC_DE	PROSER1	1	D3
ESC_DE	QSER1	1	D3
ESC_DE	QSER1TET1	1	D3
ESC_DE	TET1	1	D3
ESC_DE	TLE3	1	D3
DE	ARX	1	D7
DE	MNX1	1	D7
DE	NKX2-2	1	D7
DE	RFX6	1	D7
DE	TADA2B	1	D7
Liver	ARX	1	D7
Liver	BCOR	1	D7
Liver	GATA4het	1	D7
Liver	GATA6het	1	D7
Liver	GSC	1	D7
Liver	HHEX	1	D7
Liver	NGN3	1	D7
Liver	PROSER1	1	D7
Liver	QSER1	1	D7
Liver	QSER1TET1	1	D7
Liver	TADA2B	1	D7
Liver	TET1	1	D7
PFG	ARX	1	D7
PFG	BCOR	1	D7
PFG	GATA6het	1	D7
PFG	GSC	1	D7
PFG	HNF4A	1	D7
PFG	HNF4Ahet	1	D7
PFG	NANOGehet	1	D7
PFG	PROSER1	1	D7
PFG	QSER1	1	D7
PFG	QSER1TET1	1	D7
PFG	TADA2B	1	D7
PFG	TET1	1	D7
PFG	TET1/2/3	1	D7
Stromal	ARX	1	D7
Stromal	FOXA2	1	D7
Stromal	GATA4het	1	D7
Stromal	GSC	1	D7
Stromal	MNX1	1	D7
Stromal	NKX2-2	1	D7
Endothelial	FOXA2	1	D11
EnP	ARX	1	D11
EnP	FOXA1	1	D11
EnP	MNX1	1	D11
EnP	NKX2-2	1	D11
Liver	FOXA2	1	D11
PFG	NKX2-2	1	D11
PFG	PDX1	1	D11
PFG	TADA2B	1	D11
PP	ARX	1	D11
PP	BCOR	1	D11
PP	FOXA2	1	D11
PP	GLIS3	1	D11
PP	HNF4A	1	D11
PP	HNF4Ahet	1	D11
PP	ONECUT1e	1	D11
PP	PROSER1	1	D11
PP	QSER1	1	D11
PP	TADA2B	1	D11
PP	TET1	1	D11
PP	TET1/2/3	1	D11
Stromal	ARX	1	D11
Stromal	FOXA1	1	D11
Stromal	GATA6het	1	D11
Stromal	GSC	1	D11
Stromal	HNF4Ahet	1	D11
Stromal	MNX1	1	D11
Stromal	NEUROD1	1	D11
Stromal	PAX6	1	D11
Stromal	TLE3	1	D11
Ductal	ARX	1	D18
Ductal	BCOR	1	D18
Ductal	FOXA2	1	D18
Ductal	GATA6	1	D18
Ductal	GSC	1	D18
Ductal	HHEXe	1	D18
Ductal	HNF4A	1	D18
Ductal	HNF4Ahet	1	D18
Ductal	ONECUT1e	1	D18
Ductal	OTUD5	1	D18
Ductal	PAX6	1	D18
Ductal	PROSER1	1	D18
Ductal	TADA2B	1	D18
Ductal	TET1	1	D18
Ductal	TET1/2/3	1	D18
EnP	ARX	1	D18
EnP	FOXA1	1	D18
EnP	NKX2-2	1	D18
EnP	PROSER1	1	D18
EnP	RFX6	1	D18
EnP	TADA2B	1	D18
Liver	FOXA2	1	D18
PP	PROSER1	1	D18
SC-alpha	BCOR	1	D18
SC-alpha	GATA4het	1	D18
SC-alpha	HNF4A	1	D18
SC-alpha	ONECUT1e	1	D18
SC-alpha	OTUD5	1	D18
SC-alpha	PROSER1	1	D18
SC-alpha	TADA2B	1	D18
SC-alpha	TET1	1	D18
SC-alpha	TET1/2/3	1	D18
SC-beta	ARX	1	D18
SC-beta	BCOR	1	D18
SC-beta	HNF4A	1	D18
SC-beta	HNF4Ahet	1	D18
SC-beta	ONECUT1e	1	D18
SC-beta	OTUD5	1	D18
SC-beta	PROSER1	1	D18
SC-beta	TET1	1	D18
SC-beta	TET1/2/3	1	D18
SC-delta	NKX2-2	1	D18
SC-EC	ARX	1	D18
SC-EC	BCOR	1	D18
SC-EC	ONECUT1e	1	D18
SC-EC	OTUD5	1	D18
SC-EC	PROSER1	1	D18
SC-EC	QSER1	1	D18
SC-EC	RFX6	1	D18
SC-EC	TADA2B	1	D18
SC-EC	TET1	1	D18
Stromal	ARX	1	D18
Stromal	NKX2-2	1	D18
Stromal	PAX6	1	D18
Stromal	TLE3	1	D18
