"","tp","celltype","genotype"
"1","D3","ESC","MNX1"
"2","D3","ESC","ARX"
"3","D3","ESC","GATA6het"
"4","D3","ESC","FOXA2"
"5","D3","ESC","FOXA1"
"6","D3","ESC","GATA6"
"7","D7","DE","MNX1"
"8","D7","DE","NKX2-2"
"9","D7","DE","ARX"
"10","D7","DE","RFX6"
"11","D7","DE","TADA2B"
"12","D7","Endothelial","FOXA2"
"13","D7","Endothelial","GATA6"
"14","D7","Stromal","MNX1"
"15","D7","Stromal","NKX2-2"
"16","D7","Stromal","ARX"
"17","D7","Stromal","FOXA2"
"18","D7","Stromal","FOXA1"
"19","D7","Stromal","GSC"
"20","D7","Stromal","GATA4het"
"21","D11","Endothelial","FOXA2"
"22","D11","Endothelial","GATA6"
"23","D11","Liver","FOXA2"
"24","D11","PFG","MNX1"
"25","D11","PFG","PDX1"
"26","D11","PFG","NKX2-2"
"27","D11","PFG","TADA2B"
"28","D11","Stromal","MNX1"
"29","D11","Stromal","HNF4Ahet"
"30","D11","Stromal","ARX"
"31","D11","Stromal","FOXA1"
"32","D11","Stromal","GSC"
"33","D11","Stromal","TLE3"
"34","D11","Stromal","GATA6het"
"35","D11","Stromal","NEUROD1"
"36","D11","Stromal","PAX6"
