tp	celltype	genotype
D3	ESC	MNX1
D3	ESC	ARX
D3	ESC	GATA6het
D3	ESC	FOXA2
D3	ESC	FOXA1
D3	ESC	GATA6
D7	DE	MNX1
D7	DE	NKX2-2
D7	DE	ARX
D7	DE	RFX6
D7	DE	TADA2B
D7	Endothelial	FOXA2
D7	Endothelial	GATA6
D7	Stromal	MNX1
D7	Stromal	NKX2-2
D7	Stromal	ARX
D7	Stromal	FOXA2
D7	Stromal	FOXA1
D7	Stromal	GSC
D7	Stromal	GATA4het
D11	Endothelial	FOXA2
D11	Endothelial	GATA6
D11	Liver	FOXA2
D11	PFG	MNX1
D11	PFG	PDX1
D11	PFG	NKX2-2
D11	PFG	TADA2B
D11	Stromal	MNX1
D11	Stromal	HNF4Ahet
D11	Stromal	ARX
D11	Stromal	FOXA1
D11	Stromal	GSC
D11	Stromal	TLE3
D11	Stromal	GATA6het
D11	Stromal	NEUROD1
D11	Stromal	PAX6
