"","tp","celltype","genotype"
"I_108-MNX1_DE","D7","DE","MNX1"
"I_15-NKX2-2_DE","D7","DE","NKX2-2"
"I_17-ARX_DE","D7","DE","ARX"
"I_30-FOXA2_Endothelial","D7","Endothelial","FOXA2"
"I_37-RFX6_DE","D7","DE","RFX6"
"I_59-TADA2B_DE","D7","DE","TADA2B"
"I_82-GATA6_Endothelial","D7","Endothelial","GATA6"
"J_103-MNX1_PFG","D11","PFG","MNX1"
"J_115-PDX1_PFG","D11","PFG","PDX1"
"J_15-NKX2-2_PFG","D11","PFG","NKX2-2"
"J_30-FOXA2_Endothelial","D11","Endothelial","FOXA2"
"J_30-FOXA2_Liver","D11","Liver","FOXA2"
"J_59-TADA2B_PFG","D11","PFG","TADA2B"
"J_82-GATA6_Endothelial","D11","Endothelial","GATA6"
"C_131-WT111_Liver","D18","Liver","WT"
"E_144-WT4_Mesenchymal-Stromal","D18","Mesenchymal_Stromal","WT"
"F_144-WT4_PP","D18","PP","WT"
"L_115-PDX1_PP","D18","PP","PDX1"
"L_121-PROSER1_PP","D18","PP","PROSER1"
"L_30-FOXA2_Liver","D18","Liver","FOXA2"
